time,channel_idx
99.5,229
303.6,7
502.5,229
510.6,71
528.0,54
540.9,7
589.3000000000001,225
631.6,100
633.8000000000001,100
758.3000000000001,229
766.9,181
782.6,7
802.4,229
875.6,193
1063.8,7
1167.9,193
1251.2,54
1326.8,229
1418.8,195
1424.0,195
1424.0,229
1424.2,240
1424.8,230
1425.0,189
1426.2,150
1426.6000000000001,195
1426.8,240
1427.1000000000001,1
1427.4,230
1427.6000000000001,229
1429.0,182
1429.0,193
1429.1000000000001,220
1429.2,189
1429.8,125
1430.3,229
1430.3,240
1430.4,1
1430.5,150
1430.5,195
1431.2,193
1433.1000000000001,202
1433.3,1
1434.7,7
1438.0,175
1452.8,54
1457.9,42
1460.5,52
1462.8,1
1471.6000000000001,52
1477.1000000000001,54
1500.6000000000001,100
1506.5,89
1511.4,89
1700.3,100
1936.5,229
2010.6000000000001,67
2050.0,7
2052.3,7
2147.8,229
2286.2000000000003,7
2411.6,229
2448.7000000000003,150
2584.8,14
2716.4,229
2787.4,195
2787.9,150
2787.9,229
2788.6,189
2788.6,226
2789.6,240
2789.7000000000003,195
2790.1,229
2790.3,230
2790.3,239
2791.0,150
2791.1,1
2791.3,189
2791.3,220
2791.8,195
2792.4,240
2792.5,229
2792.6,230
2793.3,150
2793.7000000000003,1
2793.8,8
2793.9,171
2794.2000000000003,4
2794.3,195
2794.5,175
2794.9,125
2795.0,188
2795.1,182
2795.3,186
2795.5,240
2796.5,229
2796.8,195
2796.9,171
2797.3,193
2797.4,202
2797.8,182
2797.8,189
2798.8,229
2799.1,195
2800.6,1
2801.3,182
2801.7000000000003,45
2801.7000000000003,54
2801.7000000000003,164
2802.1,240
2802.2000000000003,229
2803.8,220
2803.9,71
2808.0,45
2842.9,202
2853.6,71
2862.5,195
2869.4,189
2869.5,195
2870.7000000000003,229
2872.2000000000003,195
2872.4,188
2873.0,220
2873.3,229
2874.1,1
2874.5,240
2874.8,195
2875.9,229
2876.8,220
2877.5,195
2877.5,202
2877.9,182
2878.1,193
2878.4,189
2879.1,93
2879.9,240
2880.4,195
2881.2000000000003,182
2881.6,1
2881.7000000000003,125
2882.0,229
2882.4,175
2882.6,195
2883.0,240
2883.2000000000003,150
2884.5,8
2884.8,1
2884.8,175
2884.9,171
2885.4,189
2885.5,195
2885.8,229
2886.3,7
2887.1,1
2887.3,171
2887.6,150
2888.0,182
2888.2000000000003,195
2888.5,45
2888.6,54
2889.2000000000003,229
2889.4,186
2890.5,195
2891.6,100
2892.2000000000003,240
2893.2000000000003,107
2893.6,193
2894.1,97
2896.0,193
2896.9,1
2897.4,195
2897.5,125
2897.9,240
2898.2000000000003,220
2898.5,229
2899.0,71
2899.2000000000003,54
2899.3,45
2899.4,1
2900.6,240
2901.1,52
2901.5,45
2901.6,54
2902.0,1
2902.0,186
2902.3,8
2902.3,71
2902.8,240
2904.3,52
2904.4,229
2907.0,54
2907.7000000000003,45
2907.8,164
2908.1,220
2908.7000000000003,65
2909.3,71
2912.2000000000003,46
2912.3,52
2915.2000000000003,52
2918.4,54
2918.7000000000003,195
2922.9,54
3050.9,169
3176.4,186
3216.8,89
3244.0,7
3475.6,229
3622.7000000000003,7
3897.8,93
3976.9,7
3981.7000000000003,229
