Label,Value,Pos,Duration,Target
Spike+Ripple+Fast-Ripple,14,1,0,CR5- SNR 0dB - #1
Fast-Ripple,0,1,0,A'1- SNR 15dB - #16
Fast-Ripple,0,1,0,B'1- SNR 10dB - #8
Fast-Ripple,0,1,0,OT'8- SNR 0dB - #30
Fast-Ripple,0,1,0,CR5- SNR 10dB - #8
Spike+Ripple+Fast-Ripple,2,1,0,CR5- SNR 15dB - #20
Spike,3,1,0,B'1- SNR 0dB - #2
Spike+Ripple,4,1,0,CR5- SNR 0dB - #24
Ripple,0,1,0,A'1- SNR 15dB - #17
Spike+Fast-Ripple,1,1,0,GPH'2- SNR 0dB - #8
Spike,11,1,0,A'1- SNR 15dB - #18
Spike,13,1,0,GPH'2- SNR 15dB - #10
Spike+Fast-Ripple,13,1,0,A'1- SNR 15dB - #19
Spike+Fast-Ripple,7,1,0,A'1- SNR 15dB - #20
Spike,4,1,0,A'1- SNR 15dB - #21
Spike+Ripple+Fast-Ripple,7,1,0,GPH'2- SNR 5dB - #6
Ripple,0,1,0,B'1- SNR 5dB - #6
Ripple+Fast-Ripple,0,1,0,GPH'2- SNR 15dB - #22
Spike,12,1,0,A'1- SNR 15dB - #22
Spike+Fast-Ripple,2,1,0,A'1- SNR 15dB - #23
Spike+Ripple,6,1,0,A'1- SNR 15dB - #24
Spike+Fast-Ripple,14,1,0,B'1- SNR 15dB - #9
Ripple,0,1,0,A'1- SNR 15dB - #25
Fast-Ripple,0,1,0,GPH'2- SNR 10dB - #28
Spike+Fast-Ripple,4,1,0,A'1- SNR 15dB - #26
Spike+Fast-Ripple,2,1,0,A'1- SNR 15dB - #27
Spike+Ripple+Fast-Ripple,11,1,0,A'1- SNR 15dB - #28
Spike+Ripple+Fast-Ripple,6,1,0,OT'8- SNR 10dB - #27
Spike+Ripple+Fast-Ripple,6,1,0,A'1- SNR 15dB - #29
Spike+Ripple+Fast-Ripple,7,1,0,B'1- SNR 10dB - #24
Spike+Ripple+Fast-Ripple,9,1,0,OT'8- SNR 15dB - #15
Spike,13,1,0,A'1- SNR 15dB - #30
Spike+Ripple+Fast-Ripple,14,1,0,I6- SNR 0dB - #1
Spike+Ripple+Fast-Ripple,8,1,0,B'1- SNR 15dB - #24
Spike+Ripple+Fast-Ripple,9,1,0,I6- SNR 0dB - #2
Spike+Ripple,12,1,0,I6- SNR 0dB - #3
Ripple,0,1,0,OT'8- SNR 5dB - #20
Spike+Ripple,9,1,0,CR5- SNR 5dB - #17
Spike+Fast-Ripple,4,1,0,CR5- SNR 10dB - #30
Spike+Fast-Ripple,13,1,0,I6- SNR 0dB - #4
Spike,14,1,0,OT'8- SNR 0dB - #11
Spike,3,1,0,I6- SNR 0dB - #5
Spike+Ripple+Fast-Ripple,15,1,0,CR5- SNR 0dB - #2
Ripple+Fast-Ripple,0,1,0,I6- SNR 0dB - #6
Spike+Fast-Ripple,5,1,0,I6- SNR 0dB - #7
Ripple,0,1,0,GPH'2- SNR 10dB - #3
Ripple+Fast-Ripple,0,1,0,I6- SNR 0dB - #8
Ripple+Fast-Ripple,0,1,0,I6- SNR 0dB - #9
Fast-Ripple,0,1,0,OT'8- SNR 10dB - #9
Spike+Ripple,7,1,0,CR5- SNR 10dB - #9
Ripple,0,1,0,CR5- SNR 0dB - #25
Spike+Ripple,1,1,0,I6- SNR 0dB - #10
Spike+Ripple+Fast-Ripple,1,1,0,I6- SNR 0dB - #11
Fast-Ripple,0,1,0,CR5- SNR 15dB - #21
Spike+Fast-Ripple,8,1,0,GPH'2- SNR 5dB - #20
Spike+Ripple,8,1,0,OT'8- SNR 5dB - #1
Spike,9,1,0,I6- SNR 0dB - #12
Ripple+Fast-Ripple,0,1,0,B'1- SNR 0dB - #20
Spike+Fast-Ripple,4,1,0,I6- SNR 0dB - #13
Spike+Ripple,6,1,0,B'1- SNR 5dB - #23
Spike,14,1,0,I6- SNR 0dB - #14
Ripple,0,1,0,B'1- SNR 0dB - #3
Spike+Ripple,12,1,0,I6- SNR 0dB - #15
Ripple,0,1,0,GPH'2- SNR 10dB - #16
Ripple+Fast-Ripple,0,1,0,I6- SNR 0dB - #16
Ripple+Fast-Ripple,0,1,0,B'1- SNR 10dB - #9
Fast-Ripple,0,1,0,I6- SNR 0dB - #17
Ripple,0,1,0,GPH'2- SNR 0dB - #23
Fast-Ripple,0,1,0,I6- SNR 0dB - #18
Spike+Ripple+Fast-Ripple,6,1,0,I6- SNR 0dB - #19
Ripple+Fast-Ripple,0,1,0,I6- SNR 0dB - #20
Ripple+Fast-Ripple,0,1,0,GPH'2- SNR 0dB - #9
Ripple+Fast-Ripple,0,1,0,B'1- SNR 5dB - #7
Ripple,0,1,0,I6- SNR 0dB - #21
Ripple+Fast-Ripple,0,1,0,I6- SNR 0dB - #22
Spike+Fast-Ripple,7,1,0,I6- SNR 0dB - #23
Spike,6,1,0,I6- SNR 0dB - #24
Spike+Ripple,3,1,0,I6- SNR 0dB - #25
Spike+Ripple,4,1,0,I6- SNR 0dB - #26
Spike+Ripple+Fast-Ripple,12,1,0,OT'8- SNR 10dB - #28
Spike+Fast-Ripple,15,1,0,I6- SNR 0dB - #27
Spike,9,1,0,CR5- SNR 5dB - #18
Spike+Fast-Ripple,3,1,0,GPH'2- SNR 5dB - #7
Ripple+Fast-Ripple,0,1,0,B'1- SNR 15dB - #10
Ripple+Fast-Ripple,0,1,0,CR5- SNR 0dB - #3
Ripple,0,1,0,CR5- SNR 15dB - #1
Ripple+Fast-Ripple,0,1,0,OT'8- SNR 15dB - #16
Fast-Ripple,0,1,0,I6- SNR 0dB - #28
Ripple+Fast-Ripple,0,1,0,GPH'2- SNR 15dB - #11
Spike,2,1,0,OT'8- SNR 0dB - #12
Spike,3,1,0,OT'8- SNR 5dB - #21
Spike,5,1,0,I6- SNR 0dB - #29
Ripple,0,1,0,I6- SNR 0dB - #30
Spike+Ripple+Fast-Ripple,3,1,0,CR5- SNR 0dB - #26
Spike+Fast-Ripple,11,1,0,I6- SNR 5dB - #1
Spike+Ripple+Fast-Ripple,10,1,0,CR5- SNR 10dB - #10
Spike+Fast-Ripple,1,1,0,B'1- SNR 10dB - #25
Spike+Ripple,8,1,0,I6- SNR 5dB - #2
Spike,10,1,0,GPH'2- SNR 15dB - #23
Ripple,0,1,0,I6- SNR 5dB - #3
Fast-Ripple,0,1,0,CR5- SNR 15dB - #22
Ripple+Fast-Ripple,0,1,0,I6- SNR 5dB - #4
Ripple+Fast-Ripple,0,1,0,OT'8- SNR 10dB - #10
